ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,scheme,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,years,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,rank_score
SKHY,2026-07-10,2026-07-15,0.013689253935660506,False,0.05029469962090527,35.03970652012712,3.3406217394895794,-0.0932086715988979,-0.09003708549887046,2.247326948449108,210.87824773829487,WATCHLIST_2,1252610015232.0,28.2336,4.359944,,,-0.34,0.68342,0.71535003,0.5689,0.61172,1.981,3.966,25809054072832.0,70679575658496.0,54361531088896.0,21832415576064.0,13.282,,,,,,,,,,,,,,,1244.8218981304653
SNDK,2025-02-13,2026-07-15,1.4154688569472964,False,43.861111111111114,13.689689790723294,1.03628794168052,-0.4750088301928227,-0.3083511777301927,3.116405176095937,4.906640809962694,WATCHLIST_2,239164964864.0,60.23872,7.770058,17.349174,,41.839,0.56038,0.69983,0.34185,0.39297,2.51,,2259500032.0,4639000064.0,3735000064.0,207000000.0,1.503,,STOCK_C_25_35_45_60,4.0,9.899032986965185,0.5,,0.0,-0.029013282606688617,WATCH_SAMPLE_LOW,1.0,1.0,1.0,5.690665704837288,5.632310786779161,672.9724550269009
DRAM,2026-04-02,2026-07-15,0.28473648186173856,False,1.067723380857874,11.82376383757704,0.9722704431091831,-0.2901387714255361,-0.28889989274235894,3.1640891958339425,4.8762236418293945,WATCHLIST_2,,25.84806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.47965274381335
GEV,2024-03-27,2026-07-15,2.299794661190965,False,7.074206432551977,1.4798559378237002,0.533786600024075,-0.3828562717174008,-0.10178230388781573,1.9476944332984614,2.8293702903927342,WATCHLIST_1,283574861824.0,31.156778,42.884995,20.368664,1.79,81.611,0.20282,0.05461,0.23809999,0.75708,0.163,18.165,9315624960.0,9013999616.0,9772000256.0,3755000064.0,24.925,0.19,STOCK_C_25_35_45_60,2.0,1.0493292214369432,1.0,1.9173574269017892,1.0,-0.08806569057075209,WATCH_SAMPLE_LOW,2.0,1.0,1.0,0.6589183792629985,0.6144735188472236,99.76275199962265
MU,2016-07-18,2026-07-15,9.990417522245037,True,68.51546213837283,0.5289202324305355,0.5075863813628905,-0.5762896558327204,-0.2547388796025737,1.0529971834341605,1.5863476731596577,WATCHLIST_2,1021287661568.0,22.223644,6.0098834,14.077246,0.14,14.682,0.72569,0.80370003,0.55906,0.66638,3.457,13.685,7639499776.0,51432001536.0,26022000640.0,6376000000.0,6.33,0.05,STOCK_B_20_30_40_55,33.0,0.18404902645018079,0.45454545454545453,0.22563026330357272,0.3333333333333333,-0.2811353996389528,WATCH,10.0,0.6,0.5,0.5232409287159555,0.44747790616804545,62.7434732397852
NVDA,2016-07-18,2026-07-15,9.990417522245037,True,162.64200520620088,0.6657193420108021,0.4991277543966686,-0.6633509725941662,-0.09753262682911912,1.2334193255136117,1.8311784752049085,ACTIVE_10,5146962558976.0,32.44275,16.595171,26.332096,0.65,30.826,0.74144995,0.65596,0.62966,1.14288,0.852,2.145,46335873024.0,125648003072.0,53171998720.0,12814000128.0,6.555,0.47,STOCK_A_15_25_35_50,38.0,0.4366235906766902,0.7105263157894737,0.7496537658410969,0.7894736842105263,-0.1706608886267229,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.7,0.6315880483999501,0.5558250258520401,57.22814939951067
AVGO,2016-07-18,2026-07-15,9.990417522245037,True,30.684568545938394,0.4132817020226769,0.3965116243373611,-0.4829998711610446,-0.17996552365635843,1.022712443477727,1.4239700405424092,ACTIVE_10,1875818708992.0,64.95552,20.30602,21.39338,0.45,45.649,0.76284,0.48988,0.38848,0.37280998,0.479,0.854,27212249088.0,33621999616.0,19627999232.0,64907001856.0,74.018,0.67,STOCK_C_25_35_45_60,14.0,0.5985931252409299,0.8571428571428571,0.9758875078817327,0.8571428571428571,-0.05716791066368454,STRONG_RESEARCH_CANDIDATE,10.0,0.9,0.7,0.29130181974562247,0.21553879719771252,51.82154695342055
CEG,2022-01-19,2026-07-15,4.484599589322382,False,5.374447679977993,0.5113982129233903,0.4929947936037216,-0.5070228487628662,-0.35843673572734447,1.0461098039939787,1.519650309768412,WATCHLIST_1,92173385728.0,22.27049,19.002756,2.7933617,3.74,14.474,0.23263,0.21858,0.12693,0.16104999,0.638,10.91,-4478875136.0,4554999808.0,864000000.0,22466000896.0,66.428,0.67,STOCK_C_25_35_45_60,6.0,0.5650192953584701,0.6666666666666666,0.5689211710916522,0.6666666666666666,-0.14342550344011915,STRONG_RESEARCH_CANDIDATE,4.0,0.75,0.5,0.20492375814278194,0.10927233761441027,47.67806081791938
LLY,2016-07-18,2026-07-15,9.990417522245037,True,16.001394411721762,0.3279033858688356,0.3031532564447685,-0.3447500831885487,-0.0638820048948261,1.0227477568443206,1.476110548525148,WATCHLIST_1,1031414808576.0,40.98618,25.770454,33.125126,1.54,29.532,0.82832,0.49386,0.34986,1.07459,0.555,1.699,9156599808.0,20480000000.0,5281999872.0,43370000384.0,139.015,0.6,STOCK_C_25_35_45_60,1.0,0.42840060356856036,1.0,0.4172162509027275,1.0,-0.12385757090338168,WATCH_SAMPLE_LOW,10.0,0.7,0.6,0.19094501492208946,0.11518199237417952,46.12039631110942
AMD,2016-07-18,2026-07-15,9.990417522245037,True,95.03266654597178,0.5791814936445814,0.5700394854543102,-0.6544994295506881,-0.08911872904480722,1.0521669565254135,1.6209064147660743,ACTIVE_10,862816043008.0,181.83505,39.69367,13.380029,1.34,114.985,0.5306,0.14396,0.13374,0.08063,0.378,0.912,7173374976.0,9724999680.0,12346999808.0,3871000064.0,6.005,,STOCK_C_25_35_45_60,29.0,0.3292401532159249,0.6551724137931034,0.32783226599188564,0.4827586206896552,-0.24651143524857516,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.4971539536328624,0.4213909310849525,43.40436727046993
