ticker,engine,scheme,layer,threshold,date,close,reference_high,drawdown,ma25,ma25_slope_5d,vol5,vol60,volume_ok,shrink_ok,price_near_ma25,filter,filter_pass,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2014-10-11,362.29901123046875,457.3340148925781,-20.78%,383.0488806152344,,48917640.8,,False,False,False,D_ONLY,True,-10.09%,-4.12%,-28.98%,-32.32%,-50.84%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2014-10-11,362.29901123046875,457.3340148925781,-20.78%,383.0488806152344,,48917640.8,,False,False,False,D_MA25,False,-10.09%,-4.12%,-28.98%,-32.32%,-50.84%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2014-10-11,362.29901123046875,457.3340148925781,-20.78%,383.0488806152344,,48917640.8,,False,False,False,D_VOLUME,False,-10.09%,-4.12%,-28.98%,-32.32%,-50.84%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2014-10-11,362.29901123046875,457.3340148925781,-20.78%,383.0488806152344,,48917640.8,,False,False,False,D_2560,False,-10.09%,-4.12%,-28.98%,-32.32%,-50.84%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D2,-35.00%,2015-01-03,281.0820007324219,457.3340148925781,-38.54%,325.7452392578125,-3.55%,15084560.0,20131707.5,False,False,False,D_ONLY,True,-11.82%,-1.72%,-13.96%,-16.31%,-36.64%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D2,-35.00%,2015-01-03,281.0820007324219,457.3340148925781,-38.54%,325.7452392578125,-3.55%,15084560.0,20131707.5,False,False,False,D_MA25,False,-11.82%,-1.72%,-13.96%,-16.31%,-36.64%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D2,-35.00%,2015-01-03,281.0820007324219,457.3340148925781,-38.54%,325.7452392578125,-3.55%,15084560.0,20131707.5,False,False,False,D_VOLUME,False,-11.82%,-1.72%,-13.96%,-16.31%,-36.64%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D2,-35.00%,2015-01-03,281.0820007324219,457.3340148925781,-38.54%,325.7452392578125,-3.55%,15084560.0,20131707.5,False,False,False,D_2560,False,-11.82%,-1.72%,-13.96%,-16.31%,-36.64%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D3,-50.00%,2015-01-13,225.86099243164062,457.3340148925781,-50.61%,300.03411865234375,-3.81%,28781580.8,20845023.066666666,True,False,False,D_ONLY,True,0.62%,26.41%,2.69%,2.11%,-21.14%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D3,-50.00%,2015-01-13,225.86099243164062,457.3340148925781,-50.61%,300.03411865234375,-3.81%,28781580.8,20845023.066666666,True,False,False,D_MA25,False,0.62%,26.41%,2.69%,2.11%,-21.14%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D3,-50.00%,2015-01-13,225.86099243164062,457.3340148925781,-50.61%,300.03411865234375,-3.81%,28781580.8,20845023.066666666,True,False,False,D_VOLUME,False,0.62%,26.41%,2.69%,2.11%,-21.14%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D3,-50.00%,2015-01-13,225.86099243164062,457.3340148925781,-50.61%,300.03411865234375,-3.81%,28781580.8,20845023.066666666,True,False,False,D_2560,False,0.62%,26.41%,2.69%,2.11%,-21.14%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2016-01-15,364.33099365234375,465.3210144042969,-21.70%,434.0840783691406,-1.38%,105448301.6,61711363.46666667,True,False,False,D_ONLY,True,6.10%,12.41%,21.50%,65.47%,0.00%
BTC-USD,比特幣引擎,BTC_A_20_35_50_65_80,D1,-20.00%,2016-01-15,364.33099365234375,465.3210144042969,-21.70%,434.0840783691406,-1.38%,105448301.6,61711363.46666667,True,False,False,D_MA25,False,6.10%,12.41%,21.50%,65.47%,0.00%
